S2ID|Name|Instrument|IssuerID|ISOCountryCode|ISOCurrencyCode|RootID|StartDate|EndDate
CANHVB1|PURL CAP CORP|STOCK|A70829|CAN|CAD|CANHVB1|19990112|20010104
CANHVB1|MAILBOXCITY CORP|STOCK|A70829|CAN|CAD|CANHVB1|20010105|20020430
CANHVC1|PACIFIC SUMMA ENVIRONMENTAL CP|STOCK|A43795|CAN|CAD|CANHVC1|19961231|20000808
CANHVC1|TRUAX VENTURES CORP|STOCK|A43795|CAN|CAD|CANHVC1|20000809|20040831
CANHVC1|ARIES RESOURCE CORP|STOCK|A43795|CAN|CAD|CANHVC1|20040901|20080923
CANHVC1|ALDERON RESOURCE CORP|STOCK|A43795|CAN|CAD|CANHVC1|20080924|20111004
CANHVC1|ALDERON IRON ORE ORD SHS|STOCK|A43795|CAN|CAD|CANHVC1|20111005|20751231
CANHVD1|PARAMOUNT VENTURES & FIN INC|STOCK|A02915|CAN|CAD|CANHVD1|19961231|20030630
CANHVE1|PRIMO RESOURCES LTD|STOCK|A43796|CAN|CAD|CANHVE1|19961231|19991014
CANHVE1|PRIMO RES INTL INC|STOCK|A43796|CAN|CAD|CANHVE1|19991015|20030504
CANHVE1|VEGA GOLD LTD|STOCK|A43796|CAN|CAD|CANHVE1|20030505|20100909
CANHVE1|VEGA RES INC|STOCK|A43796|CAN|CAD|CANHVE1|20100910|20110313
CANHVE1|PACIFIC COAL RESOURCES LTD|STOCK|A43796|CAN|CAD|CANHVE1|20110314|20751231
CANHVF1|PROVENOR INC|STOCK|A64024|CAN|CAD|CANHVF1|19970528|20031028
CANHVF1|PRO-VEINOR RES INC|STOCK|A64024|CAN|CAD|CANHVF1|20031029|20060313
CANHVF1|RESSOURCES AFFINOR INC|STOCK|A64024|CAN|CAD|CANHVF1|20060314|20100609
CANHVG1|PRIORITY VENTURES LTD|STOCK|A70830|CAN|CAD|CANHVG1|19961231|20021129
CANHVH1|COPPER RIDGE EXPLS INC|STOCK|A00967|CAN|CAD|CANHVH1|19961231|20110530
CANHVH1|REDTAIL METALS|STOCK|A00967|CAN|CAD|CANHVH1|20110531|20751231
CANHVI1|PINEWOOD RES LTD|STOCK|A56051|CAN|CAD|CANHVI1|19961231|20060118
CANHVJ1|WEYMIN MNG CORP|STOCK|A43797|CAN|CAD|CANHVJ1|19961231|20021027
CANHVJ1|GCP MNG CORP|STOCK|A43797|CAN|CAD|CANHVJ1|20021028|20030907
CANHVJ1|KODIAK EXPL LTD|STOCK|A43797|CAN|CAD|CANHVJ1|20030908|20110103
CANHVJ1|PRODIGY GOLD INC|STOCK|A43797|CAN|CAD|CANHVJ1|20110104|20121212
CANHVK1|PRIMEWEST ENERGY TR|STOCK|A03077|CAN|CAD|CANHVK1|19971020|20080122
CANHVL1|NORTHSIDE GROUP INC|STOCK|A43798|CAN|CAD|CANHVL1|19961231|20020127
CANHVL1|WITTKE INC|STOCK|A43798|CAN|CAD|CANHVL1|20020128|20021031
CANHVM1|POWERMAX ENERGY INC|STOCK|A63543|CAN|CAD|CANHVM1|19981105|20051113
CANHVN1|PACWEST VENTURES LTD|STOCK|A02889|CAN|CAD|CANHVN1|19980811|20011231
